Rank,Symbol,Expected_Return,Sharpe,Volatility,Sortino,Max_Drawdown,Recommendation,Confidence_Score,Explanation,Anomaly_Flag,Forecast_Volatility,Future_Score,Final_Recommendation,AI_Explainability
1,NESTLEIND,15.1033,0.57,24.23,0.963,-32.4,BUY,74.29,High return forecast (ML Driven) | Undervalued Momentum | Low Market Risk (Beta),Anomaly,0.20536739882461835,91.50122806571461,Strong Buy,NESTLEIND is rated Strong Buy because: Expected Return = 15.10%; Sharpe Ratio = 0.57; Volatility is forecasted to remain below market average; Strong confidence backed by AI predictive momentum.
12,DRREDDY,-1.2493,0.2,36.91,0.642,-81.31,SELL,60.87,,Normal,0.29129114567760295,42.78009416079749,Reduce,DRREDDY is rated Reduce because: Expected Return = -1.25%; Sharpe Ratio = 0.20; Volatility is forecasted to remain below market average.
13,ASIANPAINT,0.6174,0.4,35.5,0.337,-92.48,SELL,61.16,,Normal,0.30154602014244325,50.7301933948451,Hold,ASIANPAINT is rated Hold because: Expected Return = 0.62%; Sharpe Ratio = 0.40; Volatility is forecasted to remain below market average.
14,HDFC,1.431,0.36,41.16,0.136,-81.47,SELL,61.5,,Normal,0.39145063769711286,44.22375606027491,Reduce,HDFC is rated Reduce because: Expected Return = 1.43%; Sharpe Ratio = 0.36; Subject to higher short-term price fluctuations.
15,BHARTIARTL,0.4165,0.39,39.99,0.236,-78.47,SELL,61.55,,Normal,0.24417143920983206,54.62115672462744,Hold,BHARTIARTL is rated Hold because: Expected Return = 0.42%; Sharpe Ratio = 0.39; Volatility is forecasted to remain below market average.
16,CIPLA,1.4148,0.06,38.82,,-89.07,SELL,61.61,,Normal,0.2714590186418751,46.1304686875907,Hold,CIPLA is rated Hold because: Expected Return = 1.41%; Sharpe Ratio = 0.06; Volatility is forecasted to remain below market average.
17,NTPC,1.6803,0.01,30.19,,-73.16,SELL,62.62,,Normal,0.2806616916497232,44.670329854159746,Reduce,NTPC is rated Reduce because: Expected Return = 1.68%; Sharpe Ratio = 0.01; Volatility is forecasted to remain below market average.
18,ICICIBANK,1.0956,0.37,47.6,,-89.8,SELL,63.24,,Normal,0.41999939912429995,41.546687042841235,Reduce,ICICIBANK is rated Reduce because: Expected Return = 1.10%; Sharpe Ratio = 0.37; Subject to higher short-term price fluctuations.
19,HDFCBANK,-1.021,0.36,38.04,,-84.18,SELL,64.51,,Normal,0.35120841674724357,42.52389581138614,Reduce,HDFCBANK is rated Reduce because: Expected Return = -1.02%; Sharpe Ratio = 0.36; Subject to higher short-term price fluctuations.
20,GAIL,2.738,0.15,40.36,,-87.23,SELL,64.77,,Normal,0.33566482583094404,45.95199130005118,Hold,GAIL is rated Hold because: Expected Return = 2.74%; Sharpe Ratio = 0.15; Subject to higher short-term price fluctuations.
21,HINDUNILVR,1.239,0.14,35.8,,-96.62,SELL,65.16,,Normal,0.25781447008984965,48.877421569700665,Hold,HINDUNILVR is rated Hold because: Expected Return = 1.24%; Sharpe Ratio = 0.14; Volatility is forecasted to remain below market average.
22,AXISBANK,-1.1342,0.49,48.46,,-85.02,SELL,65.79,,Normal,0.3437191970025525,46.16867409375629,Hold,AXISBANK is rated Hold because: Expected Return = -1.13%; Sharpe Ratio = 0.49; Subject to higher short-term price fluctuations.
23,TCS,0.2767,0.24,37.69,,-82.06,SELL,66.3,,Normal,0.2573734419041541,49.515581849163745,Hold,TCS is rated Hold because: Expected Return = 0.28%; Sharpe Ratio = 0.24; Volatility is forecasted to remain below market average.
24,HEROMOTOCO,1.5799,0.2,38.88,,-90.99,SELL,66.72,,Normal,0.2842892631008911,48.972894178106365,Hold,HEROMOTOCO is rated Hold because: Expected Return = 1.58%; Sharpe Ratio = 0.20; Volatility is forecasted to remain below market average.
25,VEDL,1.7436,0.38,56.9,,-98.58,SELL,66.8,,Normal,0.39033840119572005,45.439016881686015,Hold,VEDL is rated Hold because: Expected Return = 1.74%; Sharpe Ratio = 0.38; Subject to higher short-term price fluctuations.
26,TITAN,0.8771,0.49,50.01,,-96.69,SELL,67.38,,Normal,0.27380654354229467,55.71332138710837,Hold,TITAN is rated Hold because: Expected Return = 0.88%; Sharpe Ratio = 0.49; Volatility is forecasted to remain below market average.
27,SUNPHARMA,0.9518,0.09,46.25,,-90.71,SELL,67.39,,Normal,0.2077438641181773,51.00959894065058,Hold,SUNPHARMA is rated Hold because: Expected Return = 0.95%; Sharpe Ratio = 0.09; Volatility is forecasted to remain below market average.
28,INDUSINDBK,0.0102,0.49,50.63,,-85.11,SELL,67.51,,Normal,0.45978320658927196,39.25835564924518,Reduce,INDUSINDBK is rated Reduce because: Expected Return = 0.01%; Sharpe Ratio = 0.49; Subject to higher short-term price fluctuations.
29,WIPRO,1.0073,-0.01,48.53,,-98.31,SELL,67.63,,Normal,0.3869325817501239,34.40941159051544,Reduce,WIPRO is rated Reduce because: Expected Return = 1.01%; Sharpe Ratio = -0.01; Subject to higher short-term price fluctuations.
30,COALINDIA,2.3113,-0.36,29.83,,-75.07,SELL,68.38,,Anomaly,0.29550883051758386,35.42439108493822,Reduce,COALINDIA is rated Reduce because: Expected Return = 2.31%; Sharpe Ratio = -0.36; Volatility is forecasted to remain below market average.
31,BRITANNIA,-0.3017,0.27,33.57,,-85.36,SELL,68.51,,Normal,0.22804621914399917,51.44158302102859,Hold,BRITANNIA is rated Hold because: Expected Return = -0.30%; Sharpe Ratio = 0.27; Volatility is forecasted to remain below market average.
32,KOTAKBANK,0.561,0.38,51.84,,-88.95,SELL,68.52,,Normal,0.3218837946542485,48.503062716376974,Hold,KOTAKBANK is rated Hold because: Expected Return = 0.56%; Sharpe Ratio = 0.38; Volatility is forecasted to remain below market average.
33,TECHM,1.2954,0.23,44.47,,-89.43,SELL,68.55,,Normal,0.2578187480255745,51.25839022354995,Hold,TECHM is rated Hold because: Expected Return = 1.30%; Sharpe Ratio = 0.23; Volatility is forecasted to remain below market average.
34,BAJFINANCE,-4.9679,0.68,48.67,,-93.28,SELL,68.9,,Normal,0.5503674601091008,26.954108534072823,Sell,BAJFINANCE is rated Sell because: Expected Return = -4.97%; Sharpe Ratio = 0.68; Subject to higher short-term price fluctuations.
35,LT,0.6247,0.19,41.08,,-87.53,SELL,68.92,,Normal,0.2916512459284583,46.23418177409623,Hold,LT is rated Hold because: Expected Return = 0.62%; Sharpe Ratio = 0.19; Volatility is forecasted to remain below market average.
36,ONGC,1.6447,0.04,41.74,,-95.96,SELL,69.59,,Normal,0.3627762665046003,38.853109376072645,Reduce,ONGC is rated Reduce because: Expected Return = 1.64%; Sharpe Ratio = 0.04; Subject to higher short-term price fluctuations.
37,GRASIM,0.3877,0.24,39.53,,-92.43,SELL,69.7,,Normal,0.3242376250491501,44.44188286634093,Reduce,GRASIM is rated Reduce because: Expected Return = 0.39%; Sharpe Ratio = 0.24; Subject to higher short-term price fluctuations.
38,BPCL,0.9458,0.13,46.77,,-77.31,SELL,69.84,,Normal,0.25673990117088996,48.12609500498942,Hold,BPCL is rated Hold because: Expected Return = 0.95%; Sharpe Ratio = 0.13; Volatility is forecasted to remain below market average.
39,SBIN,-0.4141,0.22,42.58,,-95.68,SELL,69.94,,Normal,0.3749718734586476,38.322172570447854,Reduce,SBIN is rated Reduce because: Expected Return = -0.41%; Sharpe Ratio = 0.22; Subject to higher short-term price fluctuations.
40,UPL,1.5576,0.19,47.7,,-92.53,SELL,70.51,,Normal,0.35984717393419746,42.69299200541534,Reduce,UPL is rated Reduce because: Expected Return = 1.56%; Sharpe Ratio = 0.19; Subject to higher short-term price fluctuations.
41,MM,0.7008,0.16,44.18,,-92.08,SELL,71.09,,Normal,0.38846212456145707,37.96317736529438,Reduce,MM is rated Reduce because: Expected Return = 0.70%; Sharpe Ratio = 0.16; Subject to higher short-term price fluctuations.
42,ITC,1.4858,0.06,39.13,,-94.05,SELL,71.87,,Normal,0.19677938392650932,52.18577465030075,Hold,ITC is rated Hold because: Expected Return = 1.49%; Sharpe Ratio = 0.06; Volatility is forecasted to remain below market average.
43,IOC,1.9769,-0.03,42.23,,-91.0,SELL,72.47,,Normal,0.2609025348525086,45.81773114347443,Hold,IOC is rated Hold because: Expected Return = 1.98%; Sharpe Ratio = -0.03; Volatility is forecasted to remain below market average.
44,TATAMOTORS,0.0088,0.2,48.87,,-95.22,SELL,72.72,,Normal,0.43563961411497454,33.85654948079232,Reduce,TATAMOTORS is rated Reduce because: Expected Return = 0.01%; Sharpe Ratio = 0.20; Subject to higher short-term price fluctuations.
45,HINDALCO,-2.9122,0.12,47.07,,-97.46,SELL,73.74,,Normal,0.4622231896316828,23.91333828194957,Sell,HINDALCO is rated Sell because: Expected Return = -2.91%; Sharpe Ratio = 0.12; Subject to higher short-term price fluctuations.
46,ADANIPORTS,-1.9442,0.15,48.26,,-91.74,SELL,76.66,,Normal,0.5156291202761515,22.36960792103913,Sell,ADANIPORTS is rated Sell because: Expected Return = -1.94%; Sharpe Ratio = 0.15; Subject to higher short-term price fluctuations.
47,INFY,1.5292,-0.06,47.74,,-96.88,SELL,77.73,,Normal,0.18081665643606987,50.51112995718435,Hold,INFY is rated Hold because: Expected Return = 1.53%; Sharpe Ratio = -0.06; Volatility is forecasted to remain below market average.
48,ZEEL,1.6927,-0.01,52.58,,-95.96,SELL,78.43,,Normal,0.4659142668292705,29.52086386220226,Sell,ZEEL is rated Sell because: Expected Return = 1.69%; Sharpe Ratio = -0.01; Subject to higher short-term price fluctuations.
49,HCLTECH,0.7159,0.12,51.84,,-96.82,SELL,80.43,,Normal,0.2693440829165719,46.41771200644097,Hold,HCLTECH is rated Hold because: Expected Return = 0.72%; Sharpe Ratio = 0.12; Volatility is forecasted to remain below market average.
